"Qty","P/N","Description"
"1","MLASU168SB5105KTNA01","Buck_Cap_C16"
"1","MSASH168SB5103KTNA01","Buck_Cap_C17"
"1","06035C332K4T2A","Buck_Cap_C18"
"1","MLASH168SB7104KTNA01","Buck_Cap_C31"
"1","SS24FL","Buck_Diode_D4"
"1","VSSAF522-M3/H","Horn_Conn_Flyback"
"1","1053131102","Car Can Out"
"1","1053131104","PH Can Out"
"1","1053131102","Car Can In"
"1","1053131104","PH Can In"
"1","~",""
"1","1053141112","Dash Conn"
"1","1053131104","EStop_4pin"
"1","1053141106","PWR"
"1","1053131102","Supp IN"
"1","~",""
"1","1053131102","EStop_2pin"
"1","1053131107","Steering Conn"
"1","1053131102","Supp OUT"
"1","1053131104","Ign Conn"
"1","1053131102","Horn Conn"
"1","MSS1246-104MLC ","Buck_Inductor"
"1","CRCW060316K0FKTA ","Buck_Resistor_R86"
"1","~",""
"1","~",""
"1","LT1963AEST-3.3#TRPBF ","LDO"
"1","TPS5405DR","Buck"
"2","3568","Fuse_3.3LDO"
"2","~",""
"3","LS Q976.01-N1Q2-1-20-R18","3.3LDO LED,5LDO LED,Controls Lead LED"
"3","CRCW12101K10FKEAHP","Controls R47"
"4","~",""
"4","FC0402E65R0BGT0","prgm led R45"
"6","GRM21BR61H106KE43K","LDO cap c35"
"6","~",""
"7","ERJ-UP6D20R0V","SWE LED R52"
"11","LG Q976.01-MGNI-35-1","prgm LED"
"14","C0805C103J5RACTU","NMOS cap c13"
"14","LB Q99G.01-P1R1-35-1-5-R18","NMOS LEDs"
"14","ERJ-P03F1500V","NMOS 150Ohms"
"14","CRCW0603100KFKTAHP","NMOS 100k"
"15","~",""
"15","IRLML2030TRPBF","NMOS!"
"15","CRCW060310K0FKTAHP","NOMS 10k"
